Date,Month,Year,Company,City,ZIP,County,FIPS,MSA,CBSA,ZCTA,CDRegion,Companies,Employees
2/20/09,Feb,2009,Rayonier,Baxley,31513,Appling County,13001,,,31513,Coastal,1,115
1/31/11,Jan,2011,Land O Sun Dairies Llc,Baxley,31513,Appling County,13001,,,31513,Coastal,1,61
4/27/20,Apr,2020,Interfor US INC,Baxley,31513,Appling County,13001,,,31513,Coastal,1,162
11/25/08,Nov,2008,Fleetwood Homes,Willacoochee,31650,Atkinson County,13003,"Douglas, GA",20060,31650,Coastal,1,113
8/3/09,Aug,2009,Fleetwood Homes,Alma,31510,Bacon County,13005,,,31510,Coastal,1,76
6/1/18,Jun,2018,Distribution South,Alma,31510,Bacon County,13005,,,31510,Coastal,1,66
3/22/19,Mar,2019,Richmond Baking,Alma,31510,Bacon County,13005,,,31510,Coastal,1,150
4/3/07,Apr,2007,"Stantex, Inc.",Milledgeville,31061,Baldwin County,13009,"Milledgeville, GA",33300,31061,East,1,40
11/13/08,Nov,2008,Mohawk Industries,Milledgeville,31061,Baldwin County,13009,"Milledgeville, GA",33300,31061,East,1,120
1/27/09,Jan,2009,Shaw Industries,Milledgeville,31061,Baldwin County,13009,"Milledgeville, GA",33300,31061,East,1,150
2/20/09,Feb,2009,Rheem Manufacturing,Milledgeville,31061,Baldwin County,13009,"Milledgeville, GA",33300,31061,East,1,1200
3/11/09,Mar,2009,"T&s Hardwoods, Inc.",Milledgeville,31061,Baldwin County,13009,"Milledgeville, GA",33300,31061,East,1,90
10/31/13,Oct,2013,Central State Hospital,Milledgeville,31062,Baldwin County,13009,"Milledgeville, GA",33300,31062,East,1,35
8/31/14,Aug,2014,Central State Hospital,Milledgeville,31062,Baldwin County,13009,"Milledgeville, GA",33300,31062,East,1,159
5/31/15,May,2015,DBHDD/Central State Hospital,Milledgeville,31062,Baldwin County,13009,"Milledgeville, GA",33300,31062,East,1,72
10/26/19,Oct,2019,"Mohawk Industries, Inc.",Milledgeville,31061,Baldwin County,13009,"Milledgeville, GA",33300,31061,East,1,198
3/9/20,Mar,2020,"Mount Vernon Mills, Inc.",Alto,30510,Banks County,13011,,,30510,Northeast,1,600
10/10/08,Oct,2008,Hagemeyer North America,Auburn,30011,Barrow County,13013,"Atlanta-Sandy Springs-Alpharetta, GA",12060,30011,Northeast,1,100
2/2/11,Feb,2011,Greatwide,Auburn,30011,Barrow County,13013,"Atlanta-Sandy Springs-Alpharetta, GA",12060,30011,Northeast,1,102
