warnCity,City,State,Country,Latitude,Longitude
Acworth,Acworth,Georgia,United States,34.0659329,-84.6768796
Adairsville,Adairsville,Georgia,United States,34.3687021,-84.9341093
Adel,Adel,Georgia,United States,31.1371358,-83.4234936
Agusuta,Augusta,Georgia,United States,33.4709714,-81.9748429
AILEY,Ailey,Georgia,United States,32.1874042,-82.5656886
Albany,Albany,Georgia,United States,31.5782062,-84.1556809
Alma,Alma,Georgia,United States,31.5393701,-82.4623557
Alpharetta,Alpharetta,Georgia,United States,34.0709576,-84.2747329
"Alpharetta, Ga",Alpharetta,Georgia,United States,34.0709576,-84.2747329
Alphretta,Alpharetta,Georgia,United States,34.0709576,-84.2747329
Alto,Alto,Georgia,United States,34.4673222,-83.5737843
Ambrose,Ambrose,Georgia,United States,31.5938031,-83.0143147
Americus,Americus,Georgia,United States,32.0723862,-84.2326876
Andersonville,Andersonville,Georgia,United States,32.1959947,-84.1399085
Arabi,Arabi,Georgia,United States,31.8315661,-83.7379487
Armuchee,Armuchee,Georgia,United States,34.3123141,-85.1721729
Ashburn,Ashburn,Georgia,United States,31.7059751,-83.6535591
Athens,Athens,Georgia,United States,33.9597677,-83.376398
Atlana,Atlanta,Georgia,United States,33.7490987,-84.3901849
Atlanta,Atlanta,Georgia,United States,33.7490987,-84.3901849
Atlanta Ga,Atlanta,Georgia,United States,33.7490987,-84.3901849
"Atlanta,",Atlanta,Georgia,United States,33.7490987,-84.3901849
"Atlanta, Ga",Atlanta,Georgia,United States,33.7490987,-84.3901849
"Atlanta, Georgia",Atlanta,Georgia,United States,33.7490987,-84.3901849
Atlnta,Atlanta,Georgia,United States,33.7490987,-84.3901849
Auburn,Auburn,Georgia,United States,34.0136622,-83.8273503
Augusta,Augusta,Georgia,United States,33.4709714,-81.9748429
Augusta Ga,Augusta,Georgia,United States,33.4709714,-81.9748429
Austell,Austell,Georgia,United States,33.8126059,-84.6343783
Avondale Estates,Avondale Estates,Georgia,United States,33.771494,-84.2671444
Bainbridge,Bainbridge,Georgia,United States,30.9038252,-84.5754768
Baldwin,Baldwin,Georgia,United States,34.4917665,-83.5373947
Ball Ground,Ball Ground,Georgia,United States,34.3382257,-84.3765714
Barnesville,Barnesville,Georgia,United States,33.0545709,-84.1557496
Baxley,Baxley,Georgia,United States,31.7782514,-82.3484618
Black Creek,Black Creek,Georgia,United States,34.201048,-83.402109
Blakely,Blakely,Georgia,United States,31.3773475,-84.9343388
Bloomingdale,Bloomingdale,Georgia,United States,32.1324249,-81.2990018
Bogart,Bogart,Georgia,United States,33.949281,-83.534608
Bonaire,Bonaire,Georgia,United States,32.5438429,-83.5960264
Braselton,Braselton,Georgia,United States,34.1092735,-83.7626729
Brookhaven,Brookhaven,Georgia,United States,33.8584368,-84.340203
Brunswick,Brunswick,Georgia,United States,31.1499528,-81.4914894
Buena Vista,Buena Vista,Georgia,United States,32.3190398,-84.5171411
Buford,Buford,Georgia,United States,34.1206564,-84.0043513
Burford,Buford,Georgia,United States,34.1206564,-84.0043513
Calhoun,Calhoun,Georgia,United States,31.5311784,-84.614328
Canton,Canton,Georgia,United States,34.2367621,-84.4907621
CARNESVILLE,Carnesville,Georgia,United States,34.3698266,-83.235155
Carrollton,Carrollton,Georgia,United States,33.5801103,-85.0766113
Cartersvile,Cartersville,Georgia,United States,34.1650972,-84.7999383
Cartersville,Cartersville,Georgia,United States,34.1650972,-84.7999383
Cedartown,Cedartown,Georgia,United States,34.0124425,-85.2559398
Centerville,Centerville,Georgia,United States,32.630145,-83.6896285
Chamble,Chamblee,Georgia,United States,33.892176,-84.2988296
Chamblee,Chamblee,Georgia,United States,33.892176,-84.2988296
Chatsworth,Chatsworth,Georgia,United States,34.7665942,-84.7698842
Chickamauga,Chickamauga,Georgia,United States,34.8711497,-85.2902472
Clarkesville,Clarkesville,Georgia,United States,34.6125971,-83.5248933
Clarkston,Clarkston,Georgia,United States,33.8095487,-84.2396434
Claxton,Claxton,Georgia,United States,32.1615815,-81.9040047
Cochran,Cochran,Georgia,United States,32.3868278,-83.3546098
Colbert,Colbert,Georgia,United States,34.0378903,-83.2126517
College Park,College Park,Georgia,United States,33.6534427,-84.4493725
College Park`,College Park,Georgia,United States,33.6534427,-84.4493725
College Pk,College Park,Georgia,United States,33.6534427,-84.4493725
Columbus,Columbus,Georgia,United States,32.4609764,-84.9877094
"Columbus, Ga",Columbus,Georgia,United States,32.4609764,-84.9877094
Commerce,Commerce,Georgia,United States,34.203997,-83.4571058
Concord,Concord,Georgia,United States,32.1401594,-84.3813028
Conley,Conley,Georgia,United States,33.6448311,-84.3257571
Conyers,Conyers,Georgia,United States,33.6676103,-84.0176904
Cordele,Cordele,Georgia,United States,31.9635074,-83.7823938
Covington,Covington,Georgia,United States,33.5967815,-83.8601827
Cumming,Cumming,Georgia,United States,34.2073196,-84.1401926
Cuthbert,Cuthbert,Georgia,United States,31.7712748,-84.7893658
Dacula,Dacula,Georgia,United States,33.9887165,-83.8979573
Dahlonega,Dahlonega,Georgia,United States,34.5328484,-83.9845723
Dallas,Dallas,Georgia,United States,33.9237141,-84.8407732
Dalton,Dalton,Georgia,United States,34.7691867,-84.9702475
Dawson,Dawson,Georgia,United States,34.4077085,-84.1356771
Dawsonville,Dawsonville,Georgia,United States,34.4212053,-84.1190804
Dearing,Dearing,Georgia,United States,33.4131947,-82.3851255
Decatur,Decatur,Georgia,United States,33.7737582,-84.296069
DORA,Doraville,Georgia,United States,33.8981579,-84.2832564
Doraville,Doraville,Georgia,United States,33.8981579,-84.2832564
Douglas,Douglas,Georgia,United States,33.6995565,-84.7622973
Douglasville,Douglasville,Georgia,United States,33.7514966,-84.7477136
Dry Branch,Dry Branch,Georgia,United States,32.772308,-84.044416
Dublin,Dublin,Georgia,United States,32.5404447,-82.903754
Duluth,Duluth,Georgia,United States,34.0028569,-84.1441046
Dunwoody,Dunwoody,Georgia,United States,33.9483649,-84.334963
"Dunwoody, GA",Dunwoody,Georgia,United States,33.9483649,-84.334963
East Point,East Point,Georgia,United States,33.6795531,-84.4393724
Eastman,Eastman,Georgia,United States,32.1976729,-83.1776514
Eastpoint,East Point,Georgia,United States,33.6795531,-84.4393724
Eatonton,Eatonton,Georgia,United States,33.3267997,-83.3884961
"Eatonton, GA",Eatonton,Georgia,United States,33.3267997,-83.3884961
Elberton,Elberton,Georgia,United States,34.1112226,-82.8670839
Ellaville,Ellaville,Georgia,United States,32.2382139,-84.3090798
Ellenwood,Ellenwood,Georgia,United States,33.6101096,-84.287978
Ellijay,Ellijay,Georgia,United States,34.6950278,-84.4827394
Eton,Eton,Georgia,United States,34.8247425,-84.7632713
Evans,Evans,Georgia,United States,32.1613648,-81.8980725
Fairburn,Fairburn,Georgia,United States,33.5670562,-84.5810418
Fayetteville,Fayetteville,Georgia,United States,33.4487257,-84.4549262
Fitgerald,Fitzgerald,Georgia,United States,31.7149082,-83.2526545
