City,ZCTA,CDRegion,MSA,County,Companies2007,Companies2008,Companies2009,Companies2010,Companies2011,Companies2012,Companies2013,Companies2014,Companies2015,Companies2016,Companies2017,Companies2018,Companies2019,Companies2020,Latitude,Longitude
Acworth,30101.0,Metro West,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,1,0,1,0,0,0,0,0,0,0,0,0,0,3,34.0659329,-84.67687959999999
Adairsville,30103.0,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Bartow County,0,0,0,0,0,0,0,0,0,0,0,0,1,1,34.3687021,-84.9341093
Adel,31620.0,South,0,Cook County,0,0,0,1,0,0,0,1,0,0,0,0,0,0,31.1371358,-83.4234936
Ailey,30410.0,Central,"Vidalia, GA",Montgomery County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32.1874042,-82.56568859999999
Albany,31701.0,South,"Albany, GA",Dougherty County,1,0,5,1,0,0,1,0,0,0,1,0,0,5,31.578206199999997,-84.15568090000001
Alma,31510.0,Coastal,0,Bacon County,0,0,1,0,0,0,0,0,0,0,0,1,1,0,31.5393701,-82.4623557
Alpharetta,30009.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,7,6,8,3,2,2,2,4,2,0,1,3,1,17,34.0709576,-84.2747329
Alto,30510.0,Northeast,"Cornelia, GA",Habersham County,0,0,0,0,0,0,0,1,1,0,0,0,0,1,34.4673222,-83.5737843
Ambrose,31512.0,Coastal,"Douglas, GA",Coffee County,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31.593803100000002,-83.0143147
Americus,31709.0,West,"Americus, GA",Sumter County,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32.0723862,-84.23268759999999
Andersonville,31711.0,West,"Americus, GA",Sumter County,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32.1959947,-84.13990849999999
Arabi,31712.0,West,"Cordele, GA",Crisp County,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31.831566100000003,-83.7379487
Armuchee,30165.0,Northwest,"Rome, GA",Floyd County,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34.3123141,-85.1721729
Ashburn,31714.0,South,0,Turner County,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31.7059751,-83.6535591
