ZCTA,CDRegion,MSA,County
31513,Coastal,,Appling County
31518,Coastal,,Appling County
31563,Coastal,,Appling County
31624,Coastal,,Atkinson County
31642,Coastal,,Atkinson County
31650,Coastal,,Atkinson County
31510,Coastal,,Bacon County
31551,Coastal,,Bacon County
39870,South,"Albany, GA",Baker County
31061,East,"Milledgeville, GA",Baldwin County
31062,East,"Milledgeville, GA",Baldwin County
30510,Northeast,,Banks County
30511,Northeast,,Banks County
30530,Northeast,,Banks County
30547,Northeast,,Banks County
30558,Northeast,,Banks County
30011,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA",Barrow County
30620,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA",Barrow County
30666,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA",Barrow County
30680,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA",Barrow County
30103,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Bartow County
30120,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Bartow County
30121,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Bartow County
30137,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Bartow County
30145,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Bartow County
30171,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Bartow County
30178,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Bartow County
30184,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Bartow County
31750,South,"Fitzgerald, GA",Ben Hill County
31622,South,,Berrien County
31639,South,,Berrien County
31645,South,,Berrien County
31749,South,,Berrien County
31052,Central,"Macon-Bibb County, GA",Bibb County
31201,Central,"Macon-Bibb County, GA",Bibb County
31204,Central,"Macon-Bibb County, GA",Bibb County
31206,Central,"Macon-Bibb County, GA",Bibb County
31207,Central,"Macon-Bibb County, GA",Bibb County
31210,Central,"Macon-Bibb County, GA",Bibb County
31216,Central,"Macon-Bibb County, GA",Bibb County
31220,Central,"Macon-Bibb County, GA",Bibb County
31014,West,,Bleckley County
31542,Coastal,"Brunswick, GA",Brantley County
31543,Coastal,"Brunswick, GA",Brantley County
31553,Coastal,"Brunswick, GA",Brantley County
31566,Coastal,"Brunswick, GA",Brantley County
31625,South,"Valdosta, GA",Brooks County
31629,South,"Valdosta, GA",Brooks County
31638,South,"Valdosta, GA",Brooks County
31643,South,"Valdosta, GA",Brooks County
31720,South,"Valdosta, GA",Brooks County
31778,South,"Valdosta, GA",Brooks County
32331,South,"Valdosta, GA",Brooks County
31308,Coastal,"Savannah, GA",Bryan County
31324,Coastal,"Savannah, GA",Bryan County
30415,Coastal,"Statesboro, GA",Bulloch County
30450,Coastal,"Statesboro, GA",Bulloch County
30452,Coastal,"Statesboro, GA",Bulloch County
30458,Coastal,"Statesboro, GA",Bulloch County
30460,Coastal,"Statesboro, GA",Bulloch County
30461,Coastal,"Statesboro, GA",Bulloch County
31321,Coastal,"Statesboro, GA",Bulloch County
29836,East,"Augusta-Richmond County, GA-SC",Burke County
30426,East,"Augusta-Richmond County, GA-SC",Burke County
30456,East,"Augusta-Richmond County, GA-SC",Burke County
30805,East,"Augusta-Richmond County, GA-SC",Burke County
30816,East,"Augusta-Richmond County, GA-SC",Burke County
30830,East,"Augusta-Richmond County, GA-SC",Burke County
30216,West,"Atlanta-Sandy Springs-Alpharetta, GA",Butts County
30233,West,"Atlanta-Sandy Springs-Alpharetta, GA",Butts County
30234,West,"Atlanta-Sandy Springs-Alpharetta, GA",Butts County
39846,South,,Calhoun County
39862,South,,Calhoun County
39866,South,,Calhoun County
31547,Coastal,"St. Marys, GA",Camden County
31548,Coastal,"St. Marys, GA",Camden County
31558,Coastal,"St. Marys, GA",Camden County
31565,Coastal,"St. Marys, GA",Camden County
31568,Coastal,"St. Marys, GA",Camden County
31569,Coastal,"St. Marys, GA",Camden County
32097,Coastal,"St. Marys, GA",Camden County
30439,Coastal,,Candler County
30451,Coastal,,Candler County
30108,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Carroll County
30116,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Carroll County
30117,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Carroll County
30118,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Carroll County
30170,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Carroll County
30179,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Carroll County
30180,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Carroll County
30182,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Carroll County
30185,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Carroll County
36273,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Carroll County
